StrainNumber1	StrainNumber2	ANIb	Formula 2: DDH
CIP111047-9716	CSID_3000517120	95.88	70.1
CIP111047-9716	CSID_3015183678	91.87	47.2
CIP111047-9716	CSID_3015183679	91.84	46.7
CIP111047-9716	CSID_3015183680	91.48	46.6
CIP111047-9716	CSID_3015183685	92.73	50.5
CIP111047-9716	CSID_3015183686	91.69	46.7
CIP111047-9716	DSM_14571	96.12	69.6
CIP111047-9716	DSM_23781	91.91	46.8
CIP111047-9716	E6809	91.47	46.8
CIP111047-9716	EM-CHUV	96.27	72.5
CIP111047-9716	Endophthalmitis	91.49	45.2
CIP111047-9716	F3201	91.23	45.3
CIP111047-9716	F3543	91.44	46.4
CIP111047-9716	F8124	90.9	43.9
CIP111047-9716	FMS-007	91.62	46.6
CIP111047-9716	G0146	92.76	50.7
CIP111047-9716	G0153	92.76	50.5
CIP111047-9716	G4070	90.88	43.9
CIP111047-9716	G4071	99.66	98.7
CIP111047-9716	G4074	99.69	98.7
CIP111047-9716	G4075	92.75	51
CIP111047-9716	G4076	79.82	23.6
CIP111047-9716	G4120	80.08	23.8
CIP111047-9716	G4121	99.64	98.9
CIP111047-9716	G4122	91.1	44
CIP111047-9716	G4123	91.23	44.6
CIP111047-9716	JM-87	91.36	45.5
CIP111047-9716	KC1913	79.82	23.6
CIP111047-9716	NUH4	91.4	46.2
CIP111047-9716	NUH6	91.49	46.2
CIP111047-9716	NUHP1	91.74	47.1
CIP111047-9716	PW2809	91.55	46.2
CIP111047-9716	R26	91.9	46.8
CIP111047-9716	V0378064	91.95	46.8
CIP111048-9716	0422	80.01	23.6
CIP111048-9716	3375	80	23.6
CIP111048-9716	502	79.96	23.5
CIP111048-9716	ATCC_13253	98.39	86
CIP111048-9716	ATCC_33958	79.89	23.6
CIP111048-9716	B2D	79.89	23.5
CIP111048-9716	BM10	79.96	23.7
CIP111048-9716	C1558	79.86	23.4
CIP111048-9716	CIP108653	79.91	23.7
CIP111048-9716	CIP108654	80.03	23.6
CIP111048-9716	CIP111046-9716	79.9	23.5
CIP111048-9716	CIP111047-9716	80.14	23.9
CIP111048-9716	CIP111067	79.92	23.5
CIP111048-9716	CIP60-58	80.01	23.6
CIP111048-9716	CIP80-33	99.42	95.3
CIP111048-9716	CSID_3000515919	98.7	88.9
CIP111048-9716	CSID_3000516074	80.11	23.9
CIP111048-9716	CSID_3000516135	79.88	23.4
CIP111048-9716	CSID_3000516359	99.3	94.1
CIP111048-9716	CSID_3000516464	79.93	23.5
CIP111048-9716	CSID_3000516465	99.79	98.8
CIP111048-9716	CSID_3000516535	99.24	93.7
CIP111048-9716	CSID_3000516589	79.99	23.6
CIP111048-9716	CSID_3000516810	79.88	23.5
CIP111048-9716	CSID_3000516977	98.35	85.7
CIP111048-9716	CSID_3000516978	79.88	23.5
CIP111048-9716	CSID_3000516998	79.97	23.5
CIP111048-9716	CSID_3000517066	79.89	23.5
CIP111048-9716	CSID_3000517120	79.86	23.7
CIP111048-9716	CSID_3015183678	79.93	23.5
CIP111048-9716	CSID_3015183679	80.02	23.7
CIP111048-9716	CSID_3015183680	79.86	23.5
CIP111048-9716	CSID_3015183685	79.97	23.6
CIP111048-9716	CSID_3015183686	79.9	23.5
CIP111048-9716	DSM_14571	79.88	23.7
CIP111048-9716	DSM_23781	79.91	23.6
CIP111048-9716	E6809	80.03	23.7
CIP111048-9716	EM-CHUV	79.94	23.7
CIP111048-9716	Endophthalmitis	79.85	23.6
CIP111048-9716	F3201	79.89	23.5
CIP111048-9716	F3543	79.96	23.6
CIP111048-9716	F8124	79.84	23.4
CIP111048-9716	FMS-007	80.05	23.7
CIP111048-9716	G0146	79.88	23.6
CIP111048-9716	G0153	79.95	23.6
CIP111048-9716	G4070	80	23.6
CIP111048-9716	G4071	79.92	23.5
CIP111048-9716	G4074	79.91	23.5
CIP111048-9716	G4075	79.9	23.6
CIP111048-9716	G4076	98.38	85.8
CIP111048-9716	G4120	99.99	99.9
CIP111048-9716	G4121	79.91	23.5
CIP111048-9716	G4122	79.94	23.4
CIP111048-9716	G4123	80.06	23.6
CIP111048-9716	JM-87	79.93	23.5
CIP111048-9716	KC1913	98.38	85.8
CIP111048-9716	NUH4	79.84	23.6
CIP111048-9716	NUH6	79.84	23.6
CIP111048-9716	NUHP1	79.82	23.6
CIP111048-9716	PW2809	80.19	24
CIP111048-9716	R26	79.87	23.5
CIP111048-9716	V0378064	79.92	23.6
CIP111067	0422	98.43	86.8
CIP111067	3375	98.24	86.3
CIP111067	502	97.87	82.8
CIP111067	ATCC_13253	79.9	23.6
CIP111067	ATCC_33958	91.44	44.8
CIP111067	B2D	97.55	79.9
CIP111067	BM10	91.15	44.5
CIP111067	C1558	89.39	38.7
CIP111067	CIP108653	91.8	46.5
CIP111067	CIP108654	97.96	83.6
CIP111067	CIP111046-9716	97.6	80.3
CIP111067	CIP111047-9716	91.89	46.8
CIP111067	CIP111048-9716	79.91	23.5
CIP111067	CIP60-58	98.42	86.8
CIP111067	CIP80-33	80.11	23.8
CIP111067	CSID_3000515919	79.92	23.6
CIP111067	CSID_3000516074	98.26	86.3
CIP111067	CSID_3000516135	89.31	38.6
CIP111067	CSID_3000516359	79.95	23.6
CIP111067	CSID_3000516464	91.86	46.7
CIP111067	CSID_3000516465	79.93	23.5
CIP111067	CSID_3000516535	79.91	23.6
CIP111067	CSID_3000516589	91.28	44.4
CIP111067	CSID_3000516810	98.97	91.4
CIP111067	CSID_3000516977	79.95	23.6
CIP111067	CSID_3000516978	97.59	80.6
CIP111067	CSID_3000516998	91.8	46.7
CIP111067	CSID_3000517066	97.58	80.3
CIP111067	CSID_3000517120	91.64	46.2
CIP111067	CSID_3015183678	98.36	86.4
CIP111067	CSID_3015183679	98.09	84.7
CIP111067	CSID_3015183680	97.98	83.8
CIP111067	CSID_3015183685	91.33	44.5
CIP111067	CSID_3015183686	97.74	83.1
CIP111067	DSM_14571	91.77	46.5
CIP111067	DSM_23781	98.39	86.7
CIP111067	E6809	98.03	84.3
CIP111067	EM-CHUV	91.94	47.1
CIP111067	Endophthalmitis	97.5	79.4
CIP111067	F3201	97.34	79.2
CIP111067	F3543	98.25	86.3
CIP111067	F8124	90.02	40.6
CIP111067	FMS-007	97.91	83.6
CIP111067	G0146	91.43	44.8
CIP111067	G0153	91.33	44.6
CIP111067	G4070	89.92	40.5
CIP111067	G4071	91.89	46.7
CIP111067	G4074	91.86	46.7
CIP111067	G4075	91.4	44.8
CIP111067	G4076	79.9	23.7
CIP111067	G4120	79.91	23.5
CIP111067	G4121	91.87	46.7
CIP111067	G4122	89.48	38.7
CIP111067	G4123	89.46	39
CIP111067	JM-87	97.56	80.4
CIP111067	KC1913	79.91	23.6
CIP111067	NUH4	97.96	84.2
CIP111067	NUH6	97.67	83.5
CIP111067	NUHP1	97.95	84.2
CIP111067	PW2809	98.36	86.3
CIP111067	R26	98.39	86.6
CIP111067	V0378064	97.86	83.1
CIP60-58	0422	100	100
CIP60-58	3375	98.2	86.3
CIP60-58	502	97.66	81.5
CIP60-58	ATCC_13253	80.04	23.5
CIP60-58	ATCC_33958	91.13	44.6
CIP60-58	B2D	97.35	78.8
CIP60-58	BM10	91.14	44.5
CIP60-58	C1558	89.31	38.7
CIP60-58	CIP108653	91.68	46.4
CIP60-58	CIP108654	97.88	84.4
CIP60-58	CIP111046-9716	97.39	78.9
CIP60-58	CIP111047-9716	91.72	46.6
CIP60-58	CIP111048-9716	80.11	23.6
CIP60-58	CIP111067	98.43	86.8
CIP60-58	CIP80-33	80.04	23.7
CIP60-58	CSID_3000515919	80.17	23.7
CIP60-58	CSID_3000516074	98.15	85.8
CIP60-58	CSID_3000516135	89.21	38.4
CIP60-58	CSID_3000516359	80.12	23.6
CIP60-58	CSID_3000516464	91.62	46.3
CIP60-58	CSID_3000516465	80.12	23.6
CIP60-58	CSID_3000516535	80.06	23.6
CIP60-58	CSID_3000516589	91.24	44.5
CIP60-58	CSID_3000516810	98.41	87.2
CIP60-58	CSID_3000516977	80.03	23.5
CIP60-58	CSID_3000516978	97.26	78.9
CIP60-58	CSID_3000516998	91.57	46.7
CIP60-58	CSID_3000517066	97.36	79
CIP60-58	CSID_3000517120	91.29	46.1
CIP60-58	CSID_3015183678	98.22	86.4
CIP60-58	CSID_3015183679	98	84.9
CIP60-58	CSID_3015183680	97.86	84.2
CIP60-58	CSID_3015183685	91.24	44.5
CIP60-58	CSID_3015183686	97.52	83.4
CIP60-58	DSM_14571	91.6	46.3
CIP60-58	DSM_23781	98.14	84.6
CIP60-58	E6809	97.87	83.9
CIP60-58	EM-CHUV	91.89	47.2
CIP60-58	Endophthalmitis	97.27	78.2
CIP60-58	F3201	97.31	78.8
CIP60-58	F3543	98.15	86
CIP60-58	F8124	90.05	40.5
CIP60-58	FMS-007	97.77	83.4
CIP60-58	G0146	91.23	44.6
CIP60-58	G0153	91.24	44.5
CIP60-58	G4070	89.79	40.2
CIP60-58	G4071	91.72	46.6
CIP60-58	G4074	91.74	46.6
CIP60-58	G4075	91.2	44.6
CIP60-58	G4076	80.05	23.5
CIP60-58	G4120	80.13	23.6
CIP60-58	G4121	91.68	46.6
CIP60-58	G4122	89.36	38.5
CIP60-58	G4123	89.38	38.9
CIP60-58	JM-87	97.28	78.2
CIP60-58	KC1913	80.05	23.5
CIP60-58	NUH4	97.76	83.7
CIP60-58	NUH6	97.6	83.2
CIP60-58	NUHP1	97.76	83.7
CIP60-58	PW2809	99.56	97.6
CIP60-58	R26	98.12	84.7
CIP60-58	V0378064	97.76	84
CIP80-33	0422	79.87	23.7
CIP80-33	3375	79.99	23.9
CIP80-33	502	79.82	23.5
CIP80-33	ATCC_13253	98.43	86.8
CIP80-33	ATCC_33958	79.72	23.6
CIP80-33	B2D	79.85	23.7
CIP80-33	BM10	79.94	23.8
CIP80-33	C1558	79.81	23.5
CIP80-33	CIP108653	79.84	23.7
CIP80-33	CIP108654	79.98	23.6
CIP80-33	CIP111046-9716	79.76	23.6
CIP80-33	CIP111047-9716	79.74	23.5
CIP80-33	CIP111048-9716	99.36	95.3
CIP80-33	CIP111067	80.01	23.8
CIP80-33	CIP60-58	79.88	23.7
CIP80-33	CSID_3000515919	98.69	89.3
CIP80-33	CSID_3000516074	79.81	23.7
CIP80-33	CSID_3000516135	79.84	23.5
CIP80-33	CSID_3000516359	99.4	96.1
CIP80-33	CSID_3000516464	80.18	24.1
CIP80-33	CSID_3000516465	99.35	95.5
CIP80-33	CSID_3000516535	98.92	93.2
CIP80-33	CSID_3000516589	79.79	23.6
CIP80-33	CSID_3000516810	79.97	23.7
CIP80-33	CSID_3000516977	98.4	86.4
CIP80-33	CSID_3000516978	79.86	23.7
CIP80-33	CSID_3000516998	79.78	23.5
CIP80-33	CSID_3000517066	79.9	23.6
CIP80-33	CSID_3000517120	80.3	24.5
CIP80-33	CSID_3015183678	79.96	23.7
CIP80-33	CSID_3015183679	79.95	23.7
CIP80-33	CSID_3015183680	79.84	23.7
CIP80-33	CSID_3015183685	79.77	23.6
CIP80-33	CSID_3015183686	79.87	23.7
CIP80-33	DSM_14571	79.87	23.8
CIP80-33	DSM_23781	79.95	23.7
CIP80-33	E6809	79.86	23.7
CIP80-33	EM-CHUV	79.87	23.7
CIP80-33	Endophthalmitis	79.87	23.7
CIP80-33	F3201	79.78	23.6
CIP80-33	F3543	79.92	23.8
CIP80-33	F8124	79.74	23.5
CIP80-33	FMS-007	79.95	23.8
CIP80-33	G0146	79.72	23.6
CIP80-33	G0153	79.85	23.7
CIP80-33	G4070	79.82	23.5
CIP80-33	G4071	79.73	23.5
CIP80-33	G4074	79.76	23.6
CIP80-33	G4075	79.76	23.7
CIP80-33	G4076	98.41	86.6
CIP80-33	G4120	99.36	95.3
CIP80-33	G4121	79.73	23.6
CIP80-33	G4122	79.92	23.5
CIP80-33	G4123	79.95	23.5
CIP80-33	JM-87	79.81	23.6
CIP80-33	KC1913	98.41	86.6
CIP80-33	NUH4	79.82	23.7
CIP80-33	NUH6	79.81	23.7
CIP80-33	NUHP1	79.81	23.7
CIP80-33	PW2809	79.86	23.7
CIP80-33	R26	79.92	23.6
CIP80-33	V0378064	79.95	23.7
CSID_3000515919	0422	80	23.7
CSID_3000515919	3375	79.9	23.7
CSID_3000515919	502	80	23.7
CSID_3000515919	ATCC_13253	98.42	86.8
CSID_3000515919	ATCC_33958	79.78	23.6
CSID_3000515919	B2D	79.85	23.6
CSID_3000515919	BM10	80	24
CSID_3000515919	C1558	79.72	23.4
CSID_3000515919	CIP108653	79.92	24
CSID_3000515919	CIP108654	79.92	23.7
CSID_3000515919	CIP111046-9716	79.8	23.5
CSID_3000515919	CIP111047-9716	79.83	23.7
CSID_3000515919	CIP111048-9716	98.62	88.9
CSID_3000515919	CIP111067	79.87	23.6
CSID_3000515919	CIP60-58	80	23.7
CSID_3000515919	CIP80-33	98.73	89.3
CSID_3000515919	CSID_3000516074	79.83	23.6
CSID_3000515919	CSID_3000516135	79.71	23.4
CSID_3000515919	CSID_3000516359	98.63	88.8
CSID_3000515919	CSID_3000516464	79.79	23.5
CSID_3000515919	CSID_3000516465	98.65	88.9
CSID_3000515919	CSID_3000516535	98.64	89.3
CSID_3000515919	CSID_3000516589	79.91	23.6
CSID_3000515919	CSID_3000516810	79.82	23.6
CSID_3000515919	CSID_3000516977	98.34	86.3
CSID_3000515919	CSID_3000516978	79.77	23.7
CSID_3000515919	CSID_3000516998	80.11	23.9
CSID_3000515919	CSID_3000517066	79.77	23.5
CSID_3000515919	CSID_3000517120	79.68	23.7
CSID_3000515919	CSID_3015183678	79.84	23.5
CSID_3000515919	CSID_3015183679	79.88	23.7
CSID_3000515919	CSID_3015183680	79.81	23.6
CSID_3000515919	CSID_3015183685	79.92	23.6
CSID_3000515919	CSID_3015183686	79.94	23.7
CSID_3000515919	DSM_14571	79.7	23.7
CSID_3000515919	DSM_23781	80.02	23.9
CSID_3000515919	E6809	79.88	23.6
CSID_3000515919	EM-CHUV	79.85	23.7
CSID_3000515919	Endophthalmitis	79.74	23.6
CSID_3000515919	F3201	79.82	23.5
CSID_3000515919	F3543	79.95	23.7
CSID_3000515919	F8124	79.76	23.4
CSID_3000515919	FMS-007	79.93	23.7
CSID_3000515919	G0146	79.82	23.5
CSID_3000515919	G0153	79.91	23.6
CSID_3000515919	G4070	79.75	23.5
CSID_3000515919	G4071	79.75	23.6
CSID_3000515919	G4074	79.77	23.6
CSID_3000515919	G4075	79.85	23.6
CSID_3000515919	G4076	98.4	86.7
CSID_3000515919	G4120	98.63	88.9
CSID_3000515919	G4121	79.74	23.6
CSID_3000515919	G4122	79.82	23.5
CSID_3000515919	G4123	79.86	23.5
CSID_3000515919	JM-87	80.05	23.8
CSID_3000515919	KC1913	98.41	86.7
CSID_3000515919	NUH4	79.99	23.9
CSID_3000515919	NUH6	80.01	23.9
CSID_3000515919	NUHP1	79.97	23.9
CSID_3000515919	PW2809	79.83	23.6
CSID_3000515919	R26	79.96	23.8
CSID_3000515919	V0378064	79.86	23.7
CSID_3000516074	0422	98.09	85.8
CSID_3000516074	3375	98.95	92
CSID_3000516074	502	97.47	81.1
CSID_3000516074	ATCC_13253	79.97	23.6
CSID_3000516074	ATCC_33958	91.2	44.4
CSID_3000516074	B2D	97.41	79.1
CSID_3000516074	BM10	90.97	44.7
CSID_3000516074	C1558	89.2	38.6
CSID_3000516074	CIP108653	91.74	46.3
CSID_3000516074	CIP108654	98.06	84.6
CSID_3000516074	CIP111046-9716	97.24	78.3
CSID_3000516074	CIP111047-9716	91.64	46.1
CSID_3000516074	CIP111048-9716	80.12	23.9
CSID_3000516074	CIP111067	98.24	86.3
CSID_3000516074	CIP60-58	98.07	85.8
CSID_3000516074	CIP80-33	79.9	23.7
CSID_3000516074	CSID_3000515919	79.94	23.6
CSID_3000516074	CSID_3000516135	89.03	38.5
CSID_3000516074	CSID_3000516359	79.93	23.6
CSID_3000516074	CSID_3000516464	91.46	46.1
CSID_3000516074	CSID_3000516465	79.97	23.6
CSID_3000516074	CSID_3000516535	79.96	23.6
CSID_3000516074	CSID_3000516589	91.18	44.4
CSID_3000516074	CSID_3000516810	98.29	86.7
CSID_3000516074	CSID_3000516977	79.97	23.6
CSID_3000516074	CSID_3000516978	97.17	78.3
CSID_3000516074	CSID_3000516998	91.45	45.8
CSID_3000516074	CSID_3000517066	97.23	77.9
CSID_3000516074	CSID_3000517120	91.6	46.5
CSID_3000516074	CSID_3015183678	98.1	84.8
CSID_3000516074	CSID_3015183679	97.81	83.4
CSID_3000516074	CSID_3015183680	97.75	83.1
CSID_3000516074	CSID_3015183685	91.15	44.5
CSID_3000516074	CSID_3015183686	97.72	82.1
CSID_3000516074	DSM_14571	91.68	46.3
CSID_3000516074	DSM_23781	98.01	84.6
CSID_3000516074	E6809	99.31	96
CSID_3000516074	EM-CHUV	91.74	46.3
CSID_3000516074	Endophthalmitis	97.19	77.2
CSID_3000516074	F3201	97.01	78
CSID_3000516074	F3543	98.98	93.4
CSID_3000516074	F8124	89.81	40.3
CSID_3000516074	FMS-007	97.75	83.4
CSID_3000516074	G0146	91.11	44.5
CSID_3000516074	G0153	91.13	44.4
CSID_3000516074	G4070	89.78	40.3
CSID_3000516074	G4071	91.56	46.3
CSID_3000516074	G4074	91.6	46.1
CSID_3000516074	G4075	91.09	44.7
CSID_3000516074	G4076	79.97	23.6
CSID_3000516074	G4120	80.13	23.9
CSID_3000516074	G4121	91.56	46.3
CSID_3000516074	G4122	89.2	38.7
CSID_3000516074	G4123	89.23	38.9
CSID_3000516074	JM-87	97.17	78.7
CSID_3000516074	KC1913	79.97	23.6
CSID_3000516074	NUH4	97.71	82.3
CSID_3000516074	NUH6	97.6	81.4
CSID_3000516074	NUHP1	97.77	82.5
CSID_3000516074	PW2809	97.95	84
CSID_3000516074	R26	98.01	84.6
CSID_3000516074	V0378064	98.03	84.2
CSID_3000516135	0422	89.14	38.4
CSID_3000516135	3375	89.08	38.4
CSID_3000516135	502	89.29	38.6
CSID_3000516135	ATCC_13253	79.77	23.4
CSID_3000516135	ATCC_33958	90.85	43.4
CSID_3000516135	B2D	89.17	38.3
CSID_3000516135	BM10	90.89	43.4
CSID_3000516135	C1558	97.32	78.1
CSID_3000516135	CIP108653	90.38	42.4
CSID_3000516135	CIP108654	89.37	39
CSID_3000516135	CIP111046-9716	89.32	38.6
CSID_3000516135	CIP111047-9716	91.06	44.1
CSID_3000516135	CIP111048-9716	79.75	23.4
CSID_3000516135	CIP111067	89.26	38.6
CSID_3000516135	CIP60-58	89.13	38.4
CSID_3000516135	CIP80-33	79.75	23.5
CSID_3000516135	CSID_3000515919	79.74	23.4
CSID_3000516135	CSID_3000516074	89.11	38.5
CSID_3000516135	CSID_3000516359	79.76	23.3
CSID_3000516135	CSID_3000516464	91.13	43.9
CSID_3000516135	CSID_3000516465	79.78	23.4
CSID_3000516135	CSID_3000516535	79.71	23.4
CSID_3000516135	CSID_3000516589	90.68	43
CSID_3000516135	CSID_3000516810	89.15	38.4
CSID_3000516135	CSID_3000516977	79.7	23.4
CSID_3000516135	CSID_3000516978	89.21	38.4
CSID_3000516135	CSID_3000516998	91.04	43.9
CSID_3000516135	CSID_3000517066	89.19	38.4
CSID_3000516135	CSID_3000517120	90.3	42.1
CSID_3000516135	CSID_3015183678	89.33	38.8
CSID_3000516135	CSID_3015183679	89.37	38.7
CSID_3000516135	CSID_3015183680	89.19	38.4
CSID_3000516135	CSID_3015183685	90.7	43
CSID_3000516135	CSID_3015183686	89.17	38.6
CSID_3000516135	DSM_14571	90.46	42.3
CSID_3000516135	DSM_23781	89.22	38.6
CSID_3000516135	E6809	89.14	38.6
CSID_3000516135	EM-CHUV	91.03	44.1
CSID_3000516135	Endophthalmitis	89.12	38.2
CSID_3000516135	F3201	89.15	38.3
CSID_3000516135	F3543	89.04	38.3
CSID_3000516135	F8124	94.33	58.2
CSID_3000516135	FMS-007	89.12	38.6
CSID_3000516135	G0146	90.83	43.3
CSID_3000516135	G0153	90.73	43.2
CSID_3000516135	G4070	94.37	58.6
CSID_3000516135	G4071	91.07	44.1
CSID_3000516135	G4074	91.06	44
CSID_3000516135	G4075	90.81	43.3
CSID_3000516135	G4076	79.77	23.4
CSID_3000516135	G4120	79.76	23.4
CSID_3000516135	G4121	91.05	44.1
CSID_3000516135	G4122	97.17	77.4
CSID_3000516135	G4123	97.37	79.5
CSID_3000516135	JM-87	89.26	38.6
CSID_3000516135	KC1913	79.77	23.4
CSID_3000516135	NUH4	89.19	38.4
CSID_3000516135	NUH6	89.15	38.7
CSID_3000516135	NUHP1	89.2	38.5
CSID_3000516135	PW2809	89	38.5
CSID_3000516135	R26	89.21	38.6
CSID_3000516135	V0378064	89.34	38.8
CSID_3000516359	0422	79.96	23.6
CSID_3000516359	3375	79.91	23.6
CSID_3000516359	502	79.86	23.5
CSID_3000516359	ATCC_13253	98.38	86.4
CSID_3000516359	ATCC_33958	79.97	23.9
CSID_3000516359	B2D	79.83	23.5
CSID_3000516359	BM10	79.94	23.8
CSID_3000516359	C1558	79.84	23.4
CSID_3000516359	CIP108653	79.82	23.7
CSID_3000516359	CIP108654	79.93	23.6
CSID_3000516359	CIP111046-9716	79.76	23.5
CSID_3000516359	CIP111047-9716	79.94	23.8
CSID_3000516359	CIP111048-9716	99.27	94.1
CSID_3000516359	CIP111067	79.89	23.6
CSID_3000516359	CIP60-58	79.96	23.6
CSID_3000516359	CIP80-33	99.42	96.1
CSID_3000516359	CSID_3000515919	98.6	88.8
CSID_3000516359	CSID_3000516074	79.85	23.6
CSID_3000516359	CSID_3000516135	79.81	23.3
CSID_3000516359	CSID_3000516464	79.89	23.5
CSID_3000516359	CSID_3000516465	99.31	94.7
CSID_3000516359	CSID_3000516535	99.03	92.1
CSID_3000516359	CSID_3000516589	79.84	23.6
CSID_3000516359	CSID_3000516810	79.91	23.5
CSID_3000516359	CSID_3000516977	98.36	86.2
CSID_3000516359	CSID_3000516978	79.81	23.6
CSID_3000516359	CSID_3000516998	79.87	23.5
CSID_3000516359	CSID_3000517066	80.06	23.8
CSID_3000516359	CSID_3000517120	79.83	23.7
CSID_3000516359	CSID_3015183678	79.92	23.5
CSID_3000516359	CSID_3015183679	79.93	23.7
CSID_3000516359	CSID_3015183680	79.87	23.6
CSID_3000516359	CSID_3015183685	79.88	23.6
CSID_3000516359	CSID_3015183686	79.96	23.6
CSID_3000516359	DSM_14571	79.86	23.7
CSID_3000516359	DSM_23781	79.92	23.5
CSID_3000516359	E6809	80.13	23.9
CSID_3000516359	EM-CHUV	79.96	23.7
CSID_3000516359	Endophthalmitis	79.86	23.6
CSID_3000516359	F3201	79.82	23.5
CSID_3000516359	F3543	79.89	23.6
CSID_3000516359	F8124	79.8	23.5
CSID_3000516359	FMS-007	79.96	23.7
CSID_3000516359	G0146	79.98	23.8
CSID_3000516359	G0153	79.85	23.6
CSID_3000516359	G4070	79.89	23.6
CSID_3000516359	G4071	79.88	23.7
CSID_3000516359	G4074	79.84	23.6
CSID_3000516359	G4075	79.99	23.9
CSID_3000516359	G4076	98.37	86.3
CSID_3000516359	G4120	99.29	94.2
CSID_3000516359	G4121	79.83	23.6
CSID_3000516359	G4122	79.87	23.4
CSID_3000516359	G4123	79.95	23.5
CSID_3000516359	JM-87	79.87	23.5
CSID_3000516359	KC1913	98.36	86.2
CSID_3000516359	NUH4	79.89	23.6
CSID_3000516359	NUH6	79.97	23.6
CSID_3000516359	NUHP1	79.88	23.6
CSID_3000516359	PW2809	79.94	23.6
CSID_3000516359	R26	79.9	23.5
CSID_3000516359	V0378064	79.88	23.6
CSID_3000516464	0422	91.59	46.3
CSID_3000516464	3375	91.45	46
CSID_3000516464	502	91.51	45.9
CSID_3000516464	ATCC_13253	79.81	23.6
CSID_3000516464	ATCC_33958	93.01	51.7
CSID_3000516464	B2D	91.41	45.2
CSID_3000516464	BM10	93.08	52.3
CSID_3000516464	C1558	91.01	43.6
CSID_3000516464	CIP108653	96.23	70.4
CSID_3000516464	CIP108654	91.91	46.8
CSID_3000516464	CIP111046-9716	91.44	45.4
CSID_3000516464	CIP111047-9716	97.42	78.2
CSID_3000516464	CIP111048-9716	79.79	23.5
CSID_3000516464	CIP111067	91.85	46.7
CSID_3000516464	CIP60-58	91.6	46.3
CSID_3000516464	CIP80-33	80.14	24.1
CSID_3000516464	CSID_3000515919	79.81	23.5
CSID_3000516464	CSID_3000516074	91.48	46.1
CSID_3000516464	CSID_3000516135	91.09	43.9
CSID_3000516464	CSID_3000516359	79.81	23.5
CSID_3000516464	CSID_3000516465	79.86	23.5
CSID_3000516464	CSID_3000516535	79.77	23.5
CSID_3000516464	CSID_3000516589	92.85	51.1
CSID_3000516464	CSID_3000516810	91.79	46.6
CSID_3000516464	CSID_3000516977	79.8	23.5
CSID_3000516464	CSID_3000516978	91.62	45.7
CSID_3000516464	CSID_3000516998	97.31	78.3
CSID_3000516464	CSID_3000517066	91.52	45.4
CSID_3000516464	CSID_3000517120	96.26	70.3
CSID_3000516464	CSID_3015183678	91.72	46.3
CSID_3000516464	CSID_3015183679	91.83	46.4
CSID_3000516464	CSID_3015183680	91.68	46.6
CSID_3000516464	CSID_3015183685	92.99	51.5
CSID_3000516464	CSID_3015183686	91.73	47.1
CSID_3000516464	DSM_14571	96.16	70
CSID_3000516464	DSM_23781	91.73	46.4
CSID_3000516464	E6809	91.66	46.6
CSID_3000516464	EM-CHUV	96.61	73.9
CSID_3000516464	Endophthalmitis	91.46	45.1
CSID_3000516464	F3201	91.3	45.3
CSID_3000516464	F3543	91.56	46.4
CSID_3000516464	F8124	90.78	43.4
CSID_3000516464	FMS-007	91.59	46.2
CSID_3000516464	G0146	92.95	51.8
CSID_3000516464	G0153	93.07	51.6
CSID_3000516464	G4070	90.85	43.4
CSID_3000516464	G4071	97.41	78.3
CSID_3000516464	G4074	97.48	78.3
CSID_3000516464	G4075	92.89	51.8
CSID_3000516464	G4076	79.82	23.6
CSID_3000516464	G4120	79.82	23.5
CSID_3000516464	G4121	97.45	78.4
CSID_3000516464	G4122	91.26	44.3
CSID_3000516464	G4123	91.25	44.4
CSID_3000516464	JM-87	91.37	45.4
CSID_3000516464	KC1913	79.83	23.6
CSID_3000516464	NUH4	91.55	45.9
CSID_3000516464	NUH6	91.65	46.9
CSID_3000516464	NUHP1	91.56	45.9
CSID_3000516464	PW2809	91.61	46.1
CSID_3000516464	R26	91.72	46.4
CSID_3000516464	V0378064	91.84	46.5
CSID_3000516465	0422	80.06	23.6
CSID_3000516465	3375	80.05	23.6
CSID_3000516465	502	79.94	23.5
CSID_3000516465	ATCC_13253	98.38	86
CSID_3000516465	ATCC_33958	79.87	23.6
CSID_3000516465	B2D	79.89	23.5
CSID_3000516465	BM10	79.98	23.8
CSID_3000516465	C1558	79.88	23.4
CSID_3000516465	CIP108653	79.86	23.7
CSID_3000516465	CIP108654	80.2	23.7
CSID_3000516465	CIP111046-9716	79.86	23.5
CSID_3000516465	CIP111047-9716	79.85	23.5
CSID_3000516465	CIP111048-9716	99.78	98.8
CSID_3000516465	CIP111067	79.97	23.5
CSID_3000516465	CIP60-58	80.05	23.6
CSID_3000516465	CIP80-33	99.42	95.5
CSID_3000516465	CSID_3000515919	98.72	88.9
CSID_3000516465	CSID_3000516074	79.98	23.6
CSID_3000516465	CSID_3000516135	79.87	23.4
CSID_3000516465	CSID_3000516359	99.33	94.7
CSID_3000516465	CSID_3000516464	79.94	23.5
CSID_3000516465	CSID_3000516535	99.23	93.9
CSID_3000516465	CSID_3000516589	79.96	23.6
CSID_3000516465	CSID_3000516810	79.92	23.5
CSID_3000516465	CSID_3000516977	98.32	85.7
CSID_3000516465	CSID_3000516978	79.86	23.5
CSID_3000516465	CSID_3000516998	79.93	23.5
